"品目コード","品目名称","２年売上"
"G123C921F-------F7","Ｃ９２１Ｆ　  Ｆ １０００",0
"G123C921F-------N3",,0
"G123C921F----S--F7","Ｃ９２１Ｆ　  Ｆ １０００再",0
"G123CM-16-------A2","ＣＭ－１６　　ＡＣ１０００",0
"G123CM-17-------F7","ＣＭ－１７　　Ｆ　１０００",0
"G123CM-17-------N3","ＣＭ－１７　　Ｎ　　　２５",0
"G123CM-19-------A2","ＣＭ－１９　　ＡＣ１０００",0
"G123CM-3A-------N3","ＣＭ－３Ａ　　Ｎ　　　２５",0
"G123CM-5N-------N3","ＣＭ－５Ｎ　　Ｎ　　　２５",0
"G123CM-8--------N3","ＣＭ－８　　　Ｎ　　　２５",0
"G123CZ223A------F7","ＣＺ２２３Ａ　　Ｆ　　１０００",0
"G123CZ223A------N3","ＣＺ２２３Ａ　Ｎ　　　２５",17425
"G123CZ223A---S--F7","ＣＺ２２３Ａ　Ｆ　１０００　再",0
"G123CZ223A---S--N3","ＣＺ２２３Ａ　Ｎ　　　２５　再",0
"G123DC6061------00","ＤＣ６０６１　ＡＣ８０００",403900
"G123DC6061------A3","ＤＣ６０６１　ＡＣ３５００",63000
"G123DC6061------A4","ＤＣ６０６１　ＡＣ１１００",115500
"G123DC6061------F2","ＤＣ６０６１　Ｆ　　５００",80000
"G123DC6061------F7","ＤＣ６０６１　Ｆ　１０００",268000
"G123DC6061------N3","ＤＣ６０６１　Ｎ　　　２５",45750
"G123DC6061C17---N3","ＤＣ６０６１　Ｎ　　　２５　Ｃ１７",0
"G123DC700V------A3","ＤＣ７００Ｖ　ＡＣ３５００",77000
"G123DC700V------A4","ＤＣ７００Ｖ　ＡＣ１１００",554400
"G123DC700V------F7","ＤＣ７００Ｖ　Ｆ　１０００",481000
"G123DC700V------N3","ＤＣ７００Ｖ　Ｎ　　　２５",68900
"G123DC720-------A3","ＤＣ７２０　　ＡＣ３５００",0
"G123DC720-------A4","ＤＣ７２０　　ＡＣ１１００",49500
"G123DC720-------F7","ＤＣ７２０　　Ｆ　１０００",1000
"G123DC720-------N3","ＤＣ７２０　　Ｎ　　　２５",8175
"G123DC720----S--F7","ＤＣ７２０　　Ｆ　１０００　再",0
"G123DC730V------A3","ＤＣ７３０Ｖ　ＡＣ３５００",1500
"G123DC820-------A3","ＤＣ８２０　　ＡＣ３５００",0
"G123DC820-------F2","ＤＣ８２０　　Ｆ　　５００",61500
"G123DC820-------F7","ＤＣ８２０　　Ｆ　１０００",479000
"G123DC820-------N3","ＤＣ８２０　　Ｎ　　　２５",4000
"G123DC830-------A2","ＤＣ８３０　　ＡＣ１０００",304000
"G123DC830-------A3","ＤＣ８３０　　ＡＣ３５００",0
"G123DC830-------A4","ＤＣ８３０   ＡＣ １１００",86900
"G123DC830-------F7","ＤＣ８３０　　Ｆ　１０００",106000
"G123DC830----S--A2","ＤＣ８３０　　ＡＣ１０００　再",0
"G123DC830----S--F7","ＤＣ８３０　　Ｆ　１０００　再",0
"G123DZ691-------F7","ＤＺ６９１　　Ｆ　１０００",104000
"G123DZ691-------N3","ＤＺ６９１　　Ｎ　　　２５",275
"G123DZ691----S--F7","ＤＺ６９１　　Ｆ　１０００　再",0
"G123E531--------F7","Ｅ５３１　　　Ｆ　１０００",6323000
"G123E531-----S--F7","Ｅ５３１　　　Ｆ　１０００　再",0
"G123ES25--------F7",,15365
"G123ES30--------F7","ＥＳ３０　　　Ｆ　１０００",207000
"G123ES30--------N3","ＥＳ３０　　　Ｎ　　　２５",30000
"G123EX3939------N3","ＥＸ３９３９　Ｎ２５",0
"G123F019--------F7","Ｆ０１９　　　Ｆ　１０００",631000
"G123F019--------N3","Ｆ０１９　　　Ｎ　　　２５",90050
"G123F019--C17---N3","Ｆ０１９　　　Ｎ　　　２５　Ｃ１７",0
"G123F019A-------F7","Ｆ０１９Ａ　　Ｆ　１０００",244000
"G123F019N-------F7","Ｆ０１９Ｎ　　Ｆ　１０００",1100
"G123F019N-------N3","Ｆ０１９Ｎ　　Ｎ　　　２５",1597000
"G123F022--------F7","Ｆ０２２　　　Ｆ　１０００",26900
"G123F022--------N3","Ｆ０２２　　　Ｎ　　　２５",0
"G123F022-----S--F7","Ｆ０２２　　　Ｆ　１０００　再",0
"G123F022G-------F7","Ｆ０２２Ｇ　　Ｆ　１０００",109748
"G123F022MC------F7","Ｆ０２２ＭＣ　Ｆ　１０００",1892000
"G123F022MC---S--F7","Ｆ０２２ＭＣ　Ｆ　１０００　再",0
"G123F022NH------F7","Ｆ０２２ＮＨ　Ｆ　１０００",1160000
"G123F022NH------N3","Ｆ０２２ＮＨ　Ｎ　　　２５",136325
"G123F022NH---S--F7","Ｆ０２２ＮＨ　Ｆ　１０００　再",0
"G123F022NHC17---N3","Ｆ０２２ＮＨ　Ｎ　　　２５　Ｃ１７",0
"G123F022SE------F7","Ｆ０２２ＳＥ　Ｆ　１０００",109000
"G123F022SE------N3","Ｆ０２２ＳＥ　Ｎ　　　２５",161275
"G123F022SE---S--F7","Ｆ０２２ＳＥ　Ｆ　１０００　再",0
"G123F022T-------F7",,5000
"G123F022T-------N3",,6000
"G123F023--------F7","Ｆ０２３　　　Ｆ　１０００",79000
"G123F023--------N3","Ｆ０２３　　　Ｎ　　　２５",93575
"G123F023-----S--F7","Ｆ０２３　　　Ｆ　１０００　再",0
"G123F027--------F7","Ｆ０２７　　　Ｆ　１０００",50000
"G123F027--------N3",,0
"G123F1100-------F2","Ｆ１１００　Ｆ    ５００",75500
"G123F120N-------F7","Ｆ１２０Ｎ　　Ｆ　１０００",564000
"G123F120N-------N3","Ｆ１２０Ｎ　　Ｎ　　　２５",75875
"G123F120N----S--F7","Ｆ１２０Ｎ　　Ｆ　１０００　再",0
"G123F120N-B12---F7","Ｆ１２０Ｎ　　Ｆ　１０００　Ｂ１２",417822
"G123F120N-B12---N3",,50
"G123F120N-B31---F7","Ｆ１２０Ｎ　　Ｆ　１０００　Ｂ３１",153000
"G123F120N-C17---N3","Ｆ１２０Ｎ　　Ｎ　　　２５　Ｃ１７",0
"G123F1920A------F7",,180000
"G123F1920A------N3",,116025
"G123F1920U------F7",,322000
"G123F1920U------N3",,63750
"G123F222--------F7","Ｆ２２２　　　Ｆ　１０００",2720000
"G123F222--------N3","Ｆ２２２　　　Ｎ　　　２５",1290175
"G123F222--C17---N3","Ｆ２２２　　　Ｎ　　　２５　Ｃ１７",0
"G123F222A-------F7","Ｆ２２２Ａ　　Ｆ　１０００",488000
"G123F222A-------N3","Ｆ２２２Ａ　　Ｎ　　　２５",49225
"G123F222A----S--N3","Ｆ２２２Ａ　　Ｎ　　　２５　再",0
"G123F222F-------F7","Ｆ２２２Ｆ　　Ｆ　１０００",96000
"G123F222F-------N3",,200
"G123F222M-------F7","Ｆ２２２Ｍ　　Ｆ　１０００",173000
"G123F222NH------F7","Ｆ２２２ＮＨ　Ｆ　１０００",952815
"G123F222NH------N3","Ｆ２２２ＮＨ　Ｎ　　　２５",484375
"G123F222NH---S--F7","Ｆ２２２ＮＨ　Ｆ　１０００　再",0
"G123F222NHB31---F7",,197000
"G123F222NHB42---F7","Ｆ２２２ＮＨ　Ｆ　１０００　Ｂ４２",0
"G123F222NHC17---N3","Ｆ２２２ＮＨ　Ｎ　　　２５　Ｃ１７",0
"G123F222NHC81---F7","Ｆ２２２ＮＨ　Ｆ　１０００　Ｃ８１",0
"G123F224C-------F7","Ｆ２２４Ｃ　　Ｆ　１０００",268000
